name,cum_prop100k
Craig,27369.6
Leonard,27402.67
Lowe,27435.73
Rhodes,27468.69
Byrd,27501.61
Gregory,27534.53
Shelton,27567.27
Frazier,27600.01
Becker,27632.68
Maldonado,27665.31
Fleming,27697.91
Vega,27730.43
Sutton,27762.82
Cohen,27795.15
Jennings,27827.42
Parks,27859.42
McDaniel,27891.42
Watts,27923.39
Barker,27954.98
Norris,27986.57
Vaughn,28018.09
Vazquez,28049.57
Holt,28080.97
Schwartz,28112.37
Steele,28143.64
Benson,28174.86
Neal,28205.95
Dominguez,28236.99
Horton,28267.95
Terry,28298.88
Wolfe,28329.69
Hale,28360.44
Lyons,28390.93
Graves,28421.39
Haynes,28451.8
Miles,28482.18
Park,28512.53
Warner,28542.87
Padilla,28573.19
Bush,28603.41
Thornton,28633.51
McCarthy,28663.55
Mann,28693.58
Zimmerman,28723.59
Erickson,28753.59
Fletcher,28783.59
McKinney,28813.48
Page,28843.31
Dawson,28873.04
Joseph,28902.71
Marquez,28932.35
Reeves,28961.93
Klein,28991.47
Espinoza,29020.88
Baldwin,29050.22
Moran,29079.33
Love,29108.37
Robbins,29137.34
Higgins,29166.29
Ball,29195.04
Cortez,29223.77
Le,29252.48
Griffith,29281.18
Bowen,29309.75
Sharp,29338.25
Cummings,29366.68
Ramsey,29395.09
Hardy,29423.49
Swanson,29451.86
Barber,29480.22
Acosta,29508.57
Luna,29536.79
Chandler,29565
Blair,29592.86
Daniel,29620.71
Cross,29648.56
Simon,29676.3
Dennis,29704.03
Oconnor,29731.74
Quinn,29759.37
Gross,29786.9
Navarro,29814.32
Moss,29841.66
Fitzgerald,29868.92
Doyle,29896.17
McLaughlin,29923.28
Rojas,29950.37
Rodgers,29977.43
Stevenson,30004.45
Singh,30031.38
Yang,30058.31
Figueroa,30085.19
Harmon,30112.04
Newton,30138.85
Paul,30165.63
Manning,30192.35
Garner,30219.06
McGee,30245.72
Reese,30272.32
Francis,30298.9
Burgess,30325.45
Adkins,30351.96
Goodman,30378.46
Curry,30404.91
Brady,30431.29
Christensen,30457.67
Potter,30484.02
Walton,30510.34
Goodwin,30536.41
Mullins,30562.47
Molina,30588.5
Webster,30614.49
Fischer,30640.47
Campos,30666.4
Avila,30692.3
Sherman,30718.18
Todd,30744.06
Chang,30769.92
Blake,30795.6
Malone,30821.28
Wolf,30846.82
Hodges,30872.35
Juarez,30897.85
Gill,30923.31
Farmer,30948.64
Hines,30973.9
Gallagher,30999.13
Duran,31024.36
Hubbard,31049.57
Cannon,31074.75
Miranda,31099.83
Wang,31124.87
Saunders,31149.79
Tate,31174.7
Mack,31199.6
Hammond,31224.46
Carrillo,31249.31
Townsend,31274.1
Wise,31298.83
Ingram,31323.55
Barton,31348.24
Mejia,31372.91
Ayala,31397.56
Schroeder,31422.18
Hampton,31446.79
Rowe,31471.33
Parsons,31495.87
Frank,31520.31
Waters,31544.71
Strickland,31569.1
Osborne,31593.5
Maxwell,31617.88
Chan,31642.24
Deleon,31666.56
Norman,31690.75
Harrington,31714.9
Casey,31738.92
Patton,31762.94
Logan,31786.87
Bowers,31810.78
Mueller,31834.62
Glover,31858.41
Floyd,31882.19
Hartman,31905.85
Buchanan,31929.51
Cobb,31953.14
French,31976.55
Kramer,31999.91
McCormick,32023.14
Clarke,32046.32
Tyler,32069.5
Gibbs,32092.68
Moody,32115.79
Conner,32138.9
Sparks,32161.97
McGuire,32184.99
Leon,32207.99
Bauer,32230.96
Norton,32253.87
Pope,32276.76
Flynn,32299.65
Hogan,32322.51
Robles,32345.35
Salinas,32368.18
Yates,32390.94
Lindsey,32413.62
Lloyd,32436.29
Marsh,32458.91
McBride,32481.47
Owen,32503.89
Solis,32526.14
Pham,32548.37
Lang,32570.55
Pratt,32592.72
Lara,32614.86
Brock,32636.98
Ballard,32659.1
Trujillo,32681.2
Shaffer,32703.15
Drake,32725.04
Roman,32746.92
Aguirre,32768.76
Morton,32790.56
Stokes,32812.31
Lamb,32834.02
Pacheco,32855.72
Patrick,32877.31
Cochran,32898.9
Shepherd,32920.37
Cain,32941.83
Burnett,32963.28
Hess,32984.71
Li,33006.13
Cervantes,33027.51
Olsen,33048.78
Briggs,33070.02
Ochoa,33091.22
Cabrera,33112.42
Velasquez,33133.61
Montoya,33154.76
Roth,33175.91
Meyers,33196.94
Cardenas,33217.93
Fuentes,33238.85
Weiss,33259.67
Hoover,33280.45
Wilkins,33301.24
Nicholson,33321.99
Underwood,33342.74
Short,33363.46
Carson,33384.15
Morrow,33404.79
Colon,33425.37
Holloway,33445.93
Summers,33466.46
Bryan,33486.95
Petersen,33507.41
McKenzie,33527.83
Serrano,33548.24
Wilcox,33568.62
Carey,33588.98
Clayton,33609.32
Poole,33629.6
Calderon,33649.87
Gallegos,33670.14
Greer,33690.38
Rivas,33710.62
Guerra,33730.85
Decker,33751.04
Collier,33771.21
Wall,33791.37
Whitaker,33811.52
Bass,33831.65
Flowers,33851.77
Davenport,33871.86
Conley,33891.95
Houston,33911.98
Huff,33931.95
Copeland,33951.89
Hood,33971.81
Monroe,33991.63
Massey,34011.45
Roberson,34031.17
Combs,34050.88
Franco,34070.59
Larsen,34090.22
Pittman,34109.75
Randall,34129.21
Skinner,34148.67
Wilkinson,34168.13
Kirby,34187.58
Cameron,34207.02
Bridges,34226.39
Anthony,34245.72
Richard,34265.05
Kirk,34284.34
Bruce,34303.62
Singleton,34322.82
Mathis,34342.02
Bradford,34361.2
Boone,34380.35
Abbott,34399.49
Charles,34418.59
Allison,34437.68
Sweeney,34456.77
Atkinson,34475.86
Horn,34494.9
Jefferson,34513.94
Rosales,34532.97
York,34552
Christian,34570.97
Phelps,34589.94
Farrell,34608.88
Castaneda,34627.82
Nash,34646.73
Dickerson,34665.64
Bond,34684.54
Wyatt,34703.4
Foley,34722.25
Chase,34741.07
Gates,34759.88
Vincent,34778.65
Mathews,34797.41
Hodge,34816.16
Garrison,34834.87
Trevino,34853.58
Villarreal,34872.24
Heath,34890.89
Dalton,34909.49
Valencia,34928.03
Callahan,34946.54
Hensley,34965.02
Atkins,34983.46
Huffman,35001.9
Roy,35020.33
Boyer,35038.72
Shields,35057.09
Lin,35075.39
Hancock,35093.68
Grimes,35111.93
Glenn,35130.18
Cline,35148.41
Delacruz,35166.63
Camacho,35184.8
Dillon,35202.9
Parrish,35221
Oneill,35239.03
Melton,35257.05
Booth,35275.06
Kane,35293.05
Berg,35311.02
Harrell,35328.99
Pitts,35346.95
Savage,35364.88
Wiggins,35382.8
Brennan,35400.71
Salas,35418.61
Marks,35436.5
Russo,35454.34
Sawyer,35472.13
Baxter,35489.87
Golden,35507.6
Hutchinson,35525.33
Liu,35543
Walter,35560.65
McDowell,35578.26
Wiley,35595.87
Rich,35613.47
Humphrey,35631.07
Johns,35648.6
Koch,35666.13
Suarez,35683.64
Hobbs,35701.14
Beard,35718.61
Gilmore,35736.05
Ibarra,35753.44
Keith,35770.77
Macias,35788.09
Khan,35805.41
Andrade,35822.72
Ware,35840.03
Stephenson,35857.32
Henson,35874.6
Wilkerson,35891.88
Dyer,35909.14
McClure,35926.38
Blackwell,35943.62
Mercado,35960.83
Tanner,35978.04
Eaton,35995.24
Clay,36012.39
Barron,36029.51
Beasley,36046.63
Oneal,36063.74
Preston,36080.74
Small,36097.74
Wu,36114.72
Zamora,36131.7
Macdonald,36148.67
Vance,36165.63
Snow,36182.57
McClain,36199.46
Stafford,36216.27
Orozco,36233.06
Barry,36249.76
English,36266.45
Shannon,36283.1
Kline,36299.74
Jacobson,36316.37
Woodard,36332.99
Huang,36349.57
Kemp,36366.14
Mosley,36382.71
Prince,36399.26
Merritt,36415.8
Hurst,36432.33
Villanueva,36448.85
Roach,36465.33
Nolan,36481.8
Lam,36498.25
Yoder,36514.65
McCullough,36531.01
Lester,36547.29
Santana,36563.55
Valenzuela,36579.78
Winters,36596
Barrera,36612.21
Leach,36628.39
Orr,36644.58
Berger,36660.73
McKee,36676.87
Strong,36692.97
Conway,36709.06
Stein,36725.12
Whitehead,36741.17
Bullock,36757.12
Escobar,36773.05
Knox,36788.96
Meadows,36804.86
Solomon,36820.74
Velez,36836.61
Odonnell,36852.48
Kerr,36868.33
Stout,36884.15
Blankenship,36899.96
Browning,36915.77
Kent,36931.56
Lozano,36947.34
Bartlett,36963.1
Pruitt,36978.84
Buck,36994.57
Barr,37010.3
Gaines,37026.01
Durham,37041.71
Gentry,37057.41
McIntyre,37073.11
Sloan,37088.78
Rocha,37120.02
Melendez,37104.4
Herman,37135.63
Sexton,37151.22
Moon,37166.82
Hendricks,37182.34
Rangel,37197.86
Stark,37213.38
Lowery,37228.83
Hardin,37244.27
Hull,37259.71
Sellers,37275.12
Ellison,37290.49
Calhoun,37305.85
Gillespie,37321.2
Mora,37336.53
Knapp,37351.82
McCall,37367.11
Morse,37382.35
Dorsey,37397.59
Weeks,37412.8
Nielsen,37428
Livingston,37443.19
Leblanc,37458.36
McLean,37473.51
Bradshaw,37488.63
Glass,37503.73
Middleton,37518.82
Buckley,37533.91
Schaefer,37548.98
Frost,37564.03
Howe,37579.06
House,37594.06
McIntosh,37609.06
Ho,37624.04
Pennington,37639
Reilly,37653.94
Hebert,37668.87
McFarland,37683.79
Hickman,37698.7
Noble,37713.61
Spears,37728.51
Conrad,37743.38
Arias,37758.24
Galvan,37773.08
Velazquez,37787.92
Huynh,37802.75
Frederick,37817.55
Randolph,37832.28
Cantu,37846.96
Fitzpatrick,37861.6
Mahoney,37876.22
Peck,37890.84
Villa,37905.45
Michael,37920.04
Donovan,37934.6
McConnell,37949.13
Walls,37963.65
Boyle,37978.16
Mayer,37992.66
Zuniga,38007.13
Giles,38021.59
Pineda,38036.05
Pace,38050.5
Hurley,38064.94
Mays,38079.37
McMillan,38093.79
Crosby,38108.19
Ayers,38122.58
Case,38136.95
Bentley,38151.3
Shepard,38165.65
Everett,38180
Pugh,38194.34
David,38208.67
McMahon,38222.96
Dunlap,38237.24
Bender,38251.5
Hahn,38265.72
Harding,38279.93
Acevedo,38294.1
Raymond,38308.25
Blackburn,38322.38
Duffy,38336.46
Landry,38350.53
Dougherty,38364.58
Bautista,38378.61
Shah,38392.63
Potts,38406.6
Arroyo,38420.57
Valentine,38434.54
Meza,38448.5
Gould,38462.46
Vaughan,38476.39
Fry,38490.31
Rush,38504.2
Avery,38518.08
Herring,38531.92
Dodson,38545.75
Clements,38559.55
Sampson,38573.36
Tapia,38587.15
Bean,38600.92
Lynn,38614.68
Crane,38628.44
Farley,38642.2
Cisneros,38655.93
Benton,38669.66
Ashley,38683.38
McKay,38697.08
Finley,38710.75
Best,38724.41
Blevins,38738.07
Friedman,38751.72
Moses,38765.37
Sosa,38779.02
Blanchard,38792.65
Huber,38806.26
Frye,38819.87
Krueger,38833.47
Bernard,38847.02
Rosario,38860.57
Rubio,38874.11
Mullen,38887.62
Benjamin,38901.13
Haley,38914.63
Chung,38928.13
Moyer,38941.63
Choi,38955.12
Horne,38968.58
Yu,38982.03
Woodward,38995.46
Ali,39008.84
Nixon,39022.19
Hayden,39035.55
Rivers,39048.89
Estes,39062.17
McCarty,39075.41
Richmond,39088.65
Stuart,39101.89
Maynard,39115.1
Brandt,39128.3
Oconnell,39141.5
Hanna,39154.7
Sanford,39167.88
Sheppard,39181.06
Church,39194.24
Burch,39207.41
Levy,39220.55
Rasmussen,39233.69
Coffey,39246.83
Ponce,39259.96
Faulkner,39273.07
Donaldson,39286.19
Schmitt,39299.29
Novak,39312.37
Costa,39325.42
Montes,39338.47
Booker,39351.48
Cordova,39364.48
Waller,39377.46
Arellano,39390.43
Maddox,39403.4
Mata,39416.33
Bonilla,39429.24
Stanton,39442.14
Compton,39455.04
Kaufman,39467.93
Dudley,39480.82
McPherson,39493.71
Beltran,39506.59
Dickson,39519.45
McCann,39532.31
Villegas,39545.17
Proctor,39558.02
Hester,39570.88
Cantrell,39583.73
Daugherty,39596.58
Cherry,39609.41
Bray,39622.22
Davila,39635.03
Rowland,39647.82
Levine,39660.6
Madden,39673.37
Spence,39686.14
Good,39698.9
Irwin,39711.64
Werner,39724.38
Krause,39737.11
Petty,39749.82
Whitney,39762.51
Baird,39775.2
Hooper,39787.84
Pollard,39800.47
Zavala,39813.1
Jarvis,39825.72
Holden,39838.34
Haas,39850.96
Hendrix,39863.57
McGrath,39876.19
Bird,39888.78
Lucero,39901.35
Terrell,39913.92
Riggs,39926.48
Joyce,39939.02
Mercer,39951.55
Rollins,39964.08
Galloway,39976.6
Duke,39989.11
Odom,40001.61
Andersen,40014.03
Downs,40026.45
Hatfield,40038.85
Benitez,40051.25
Archer,40063.63
Huerta,40075.99
Travis,40088.35
McNeil,40100.68
Hinton,40112.99
Zhang,40125.29
Hays,40137.6
Mayo,40149.88
Fritz,40162.14
Branch,40174.38
Mooney,40186.6
Ewing,40198.8
Ritter,40210.99
Esparza,40223.14
Frey,40235.27
Braun,40247.38
Gay,40259.5
Riddle,40271.6
Haney,40283.7
Kaiser,40295.77
Holder,40307.81
Chaney,40319.83
McKnight,40331.84
Gamble,40343.84
Vang,40355.82
Cooley,40367.79
Carney,40379.76
Cowan,40391.71
Forbes,40403.66
Ferrell,40415.59
Davies,40427.51
Barajas,40439.43
Shea,40451.31
Osborn,40463.19
Bright,40475.07
Cuevas,40486.94
Bolton,40498.8
Murillo,40510.65
Lutz,40522.49
Duarte,40534.31
Kidd,40546.13
Key,40557.95
Cooke,40569.76
Goff,40581.55
Dejesus,40593.34
Marin,40605.12
Dotson,40616.91
Bonner,40628.68
Cotton,40640.45
Merrill,40652.22
Lindsay,40663.99
Lancaster,40675.74
McGowan,40687.48
Felix,40699.2
Salgado,40710.93
Slater,40722.63
Carver,40734.33
Guthrie,40746.02
Holman,40757.7
Fulton,40769.38
Snider,40781.03
Sears,40792.66
Witt,40804.29
Newell,40815.9
Byers,40827.5
Lehman,40839.1
Gorman,40850.7
Costello,40862.29
Donahue,40873.87
Delaney,40885.45
Albert,40897
Workman,40908.55
Rosas,40920.06
Springer,40931.57
Kinney,40954.52
Justice,40943.05
Odell,40965.99
Lake,40977.46
Donnelly,40988.92
Law,41000.37
Dailey,41011.83
Guevara,41023.26
Shoemaker,41034.66
Barlow,41046.06
Marino,41057.45
Winter,41068.84
Craft,41080.2
Katz,41091.55
Pickett,41102.88
Espinosa,41114.2
Maloney,41136.76
Daly,41125.48
Goldstein,41148.04
Crowley,41159.32
Vogel,41170.58
Kuhn,41181.83
Pearce,41193.05
Hartley,41204.26
Cleveland,41215.47
Palacios,41226.68
McFadden,41237.87
Britt,41249.07
Wooten,41260.26
Cortes,41271.43
Dillard,41282.59
Childers,41293.74
Alford,41304.88
Dodd,41316.02
Emerson,41327.15
Wilder,41338.28
Lange,41349.39
Goldberg,41360.5
Quintero,41371.6
Beach,41382.7
Enriquez,41393.78
Quintana,41404.81
Helms,41415.83
Mackey,41426.84
Finch,41437.86
Cramer,41448.85
Minor,41459.84
Flanagan,41470.8
Franks,41481.74
Corona,41492.69
Kendall,41503.63
McCabe,41514.58
Hendrickson,41525.51
Moser,41536.44
McDermott,41547.35
Camp,41558.26
McLeod,41569.17
Bernal,41580.08
Kaplan,41590.98
Medrano,41601.87
Lugo,41612.74
Tracy,41623.61
Bacon,41634.48
Crowe,41645.32
Richter,41656.16
Welsh,41666.99
Holley,41677.82
Ratliff,41688.62
Mayfield,41699.42
Talley,41710.21
Haines,41720.98
Dale,41731.73
Gibbons,41742.48
Hickey,41753.21
Byrne,41763.95
Kirkland,41774.68
Farris,41785.4
Correa,41796.12
Tillman,41806.82
Sweet,41817.53
Kessler,41828.23
England,41838.93
Hewitt,41849.62
Blanco,41860.32
Connolly,41871
Pate,41881.68
Elder,41892.35
Bruno,41903
Holcomb,41913.62
Hyde,41924.23
McAllister,41934.82
Cash,41945.42
Christopher,41955.98
Whitfield,41966.53
Meeks,41977.07
Hatcher,41987.61
Fink,41998.14
Sutherland,42008.68
Noel,42019.2
Ritchie,42029.73
Rosa,42040.25
Leal,42050.72
Joyner,42061.18
Starr,42071.64
Morin,42082.08
Delarosa,42092.51
Connor,42102.93
Hilton,42113.35
Alston,42123.76
Gilliam,42134.17
Wynn,42144.57
Wills,42154.96
Jaramillo,42165.35
Oneil,42175.73
Nieves,42186.12
Britton,42196.5
Rankin,42206.87
Belcher,42217.23
Guy,42227.59
Chamberlain,42237.94
Tyson,42248.29
Puckett,42258.63
Downing,42268.96
Sharpe,42279.29
Boggs,42289.6
Truong,42299.91
Pierson,42310.19
Godfrey,42320.46
Mobley,42330.71
John,42340.96
Kern,42351.2
Dye,42361.44
Hollis,42371.67
Bravo,42381.89
Magana,42392.11
Rutherford,42402.32
Ng,42412.53
Tuttle,42422.71
Lim,42432.88
Romano,42443.04
Trejo,42463.34
Arthur,42453.19
Knowles,42473.49
Lyon,42483.62
Shirley,42493.74
Quinones,42503.86
Childs,42513.96
Dolan,42524.07
Head,42534.16
Reyna,42544.25
Saenz,42554.33
Hastings,42564.42
Kenney,42574.49
Cano,42584.57
Foreman,42594.63
Denton,42604.68
Villalobos,42614.73
Pryor,42624.76
Sargent,42634.78
Doherty,42644.78
Hopper,42654.77
Phan,42664.74
Womack,42674.71
Lockhart,42684.66
Ventura,42694.58
Dwyer,42704.5
Muller,42714.42
Galindo,42724.33
Grace,42734.23
Sorensen,42744.13
Courtney,42754.02
Parra,42763.9
Rodrigues,42773.78
Nicholas,42783.65
Ahmed,42793.51
McGinnis,42803.37
Langley,42813.21
Madison,42823.05
Locke,42832.88
Jamison,42842.7
Nava,42852.51
Gustafson,42862.31
Sykes,42872.1
Dempsey,42881.89
Hamm,42891.67
Rodriquez,42901.45
McGill,42911.22
Xiong,42920.98
Esquivel,42930.73
Simms,42940.48
Kendrick,42950.22
Boyce,42959.94
Vigil,42969.66
Downey,42979.38
McKenna,42989.08
Sierra,42998.79
Webber,43008.49
Kirkpatrick,43018.19
Dickinson,43027.88
Couch,43037.57
Burks,43047.25
Sheehan,43056.93
Slaughter,43066.6
Pike,43076.27
Whitley,43085.93
Magee,43095.58
Cheng,43105.23
Sinclair,43114.87
Cassidy,43124.52
Rutledge,43134.16
Burris,43143.8
Bowling,43153.41
Crabtree,43163.02
McNamara,43172.62
Avalos,43182.21
Vu,43191.79
Herron,43201.34
Broussard,43210.88
Abraham,43220.42
Garland,43229.96
Corbett,43239.49
Corbin,43249.02
Stinson,43258.54
Chin,43268.06
Burt,43277.57
Hutchins,43287.07
Woodruff,43296.57
Lau,43306.07
Brandon,43315.56
Singer,43325.05
Hatch,43334.52
Rossi,43343.98
Shafer,43353.43
Ott,43362.88
Goss,43372.32
Gregg,43381.76
Dewitt,43391.19
Tang,43400.62
Polk,43410.05
Worley,43419.47
Covington,43428.89
Saldana,43438.3
Heller,43447.7
Emery,43457.1
Swartz,43466.48
Cho,43475.86
McCray,43485.24
Elmore,43494.61
Rosenberg,43503.98
Simons,43513.34
Clemons,43522.71
Beatty,43532.07
Harden,43541.42
Herbert,43550.77
Bland,43560.12
Rucker,43569.45
Manley,43578.78
Ziegler,43588.09
Grady,43597.41
Lott,43606.72
Rouse,43615.99
Gleason,43625.26
McClellan,43634.53
Abrams,43643.78
Vo,43653.03
Albright,43662.28
Meier,43671.5
Dunbar,43680.72
Ackerman,43689.94
Padgett,43699.15
Mayes,43708.36
Tipton,43717.54
Coffman,43726.71
Peralta,43735.87
Shapiro,43745.03
Roe,43754.19
Weston,43763.34
Plummer,43772.48
Helton,43781.61
Stern,43790.74
Fraser,43799.86
Stover,43808.98
Fish,43818.11
Schumacher,43827.22
Baca,43836.33
Curran,43845.43
Vinson,43854.53
Vera,43863.63
Clifton,43872.73
Ervin,43881.81
Eldridge,43890.9
Lowry,43899.98
Childress,43909.06
Becerra,43918.13
Gore,43927.19
Seymour,43936.25
Chu,43945.28
Field,43954.32
Akers,43963.35
Carrasco,43972.37
Bingham,43981.39
Sterling,43990.4
Greenwood,43999.41
Leslie,44008.41
Groves,44017.4
Manuel,44026.38
Swain,44035.36
Edmonds,44044.33
Muniz,44053.31
Thomson,44062.27
Crouch,44071.22
Walden,44080.16
Smart,44089.1
Tomlinson,44098.04
Alfaro,44106.97
Quick,44115.9
Goldman,44124.83
McElroy,44133.75
Yarbrough,44142.67
Funk,44151.58
Hong,44160.49
Portillo,44169.38
Lund,44178.28
Ngo,44187.17
Elkins,44196.05
Stroud,44204.93
Meredith,44213.8
Battle,44222.67
McCauley,44231.54
Zapata,44240.4
Bloom,44249.25
Gee,44258.09
Givens,44266.92
Cardona,44275.74
Schafer,44284.57
Robison,44293.38
Gunter,44302.2
Griggs,44311
Tovar,44319.8
Teague,44328.6
Swift,44337.38
Bowden,44346.16
Schulz,44354.93
Blanton,44363.71
Buckner,44372.47
Whalen,44381.24
Pritchard,44389.99
Pierre,44398.73
Kang,44407.46
Metcalf,44424.91
Butts,44416.19
Kurtz,44433.62
Sanderson,44442.32
Tompkins,44451.02
Inman,44459.72
Crowder,44468.39
Dickey,44477.07
Hutchison,44485.74
Conklin,44494.4
Hoskins,44503.06
Holbrook,44511.71
Horner,44520.35
Neely,44528.99
Tatum,44537.62
Hollingsworth,44546.26
Draper,44554.87
Clement,44563.49
Lord,44572.09
Reece,44580.7
Feldman,44589.3
Kay,44597.9
Hagen,44606.49
Crews,44615.07
Bowles,44623.66
Post,44632.24
Jewell,44640.82
Daley,44649.4
Cordero,44657.97
McKinley,44666.54
Velasco,44675.11
Masters,44683.67
Driscoll,44692.22
Burrell,44700.77
Valle,44709.31
Crow,44717.85
Devine,44726.38
Larkin,44734.91
Chappell,44743.43
Pollock,44751.96
Ly,44769
Kimball,44760.48
Schmitz,44777.52
Lu,44786.04
Rubin,44794.55
Self,44803.06
Barrios,44811.57
Pereira,44820.06
Phipps,44828.56
McManus,44837.05
Nance,44845.54
Steiner,44854.02
Poe,44862.49
Crockett,44870.96
Jeffries,44879.43
Amos,44887.89
Nix,44896.34
